a	ˈa
casalai	kˌɐzɐlˈaɪ
casalaste	kˌɐzɐlˈaʃtɨ
casalasse	kˌɐzɐlˈasɨ
casale	kˌɐzˈalɨ
casalava	kˌɐzɐlˈavɐ
casalaria	kˌɐzɐlɐɾˈiɐ
casalada	kˌɐzɐlˈadɐ
casalara	kˌɐzɐlˈaɾɐ
casala	kˌɐzˈalɐ
casaleiro	kˌɐzɐlˈeɪɾʊ
casamentar	kˌɐzɐmeɪŋtˈaɹ
recasamentará	ʁˌekɐzɐmˌeɪŋtɐɾˈa
recasamentá	ʁˌekɐzɐmeɪŋtˈa
recasamentou	ʁˌekɐzɐmeɪŋtˈow
recasamentarás	ʁˌekɐzɐmˌeɪŋtɐɾˈaʃ
recasamentámos	ʁˌekɐzɐmeɪŋtˈamʊʃ
recasamentássemos	ʁˌekɐzɐmeɪŋtˈasɨmʊʃ
recasamentaremos	ʁˌekɐzɐmˌeɪŋtɐɾˈemʊʃ
recasamentemos	ʁˌekɐzɐmeɪŋtˈemʊʃ
recasamentaríamos	ʁˌekɐzɐmˌeɪŋtɐɾˈiɐ̃mʊʃ
recasamentávamos	ʁˌekɐzɐmeɪŋtˈavɐmʊʃ
recasamentáramos	ʁˌekɐzɐmeɪŋtˈaɾɐmʊʃ
recasamentarmos	ʁˌekɐzɐmeɪŋtˈaɾəmʊʃ
recasamentamos	ʁˌekɐzɐmeɪŋtˈɐ̃mʊʃ
recasamentados	ʁˌekɐzɐmeɪŋtˈadʊʃ
recasamentaríeis	ʁˌekɐzɐmˌeɪŋtɐɾˈieɪʃ
recasamentáveis	ʁˌekɐzɐmeɪŋtˈaveɪʃ
recasamentásseis	ʁˌekɐzɐmeɪŋtˈaseɪʃ
recasamentáreis	ʁˌekɐzɐmeɪŋtˈaɾeɪʃ
recasamentareis	ʁˌekɐzɐmˌeɪŋtɐɾˈeɪʃ
recasamenteis	ʁˌekɐzɐmeɪŋtˈeɪʃ
recasamentais	ʁˌekɐzɐmeɪŋtˈaɪʃ
recasamentastes	ʁˌekɐzɐmeɪŋtˈaʃtɨʃ
recasamentasses	ʁˌekɐzɐmeɪŋtˈasɨʃ
recasamentardes	ʁˌekɐzɐmeɪŋtˈaɾədɨʃ
recasamentares	ʁˌekɐzɐmeɪŋtˈaɾɨʃ
recasamentes	ʁˌekɐzɐmˈeɪŋtɨʃ
recasamentavas	ʁˌekɐzɐmeɪŋtˈavɐʃ
recasamentarias	ʁˌekɐzɐmˌeɪŋtɐɾˈiɐʃ
recasamentadas	ʁˌekɐzɐmeɪŋtˈadɐʃ
recasamentaras	ʁˌekɐzɐmeɪŋtˈaɾɐʃ
recasamentas	ʁˌekɐzɐmˈeɪŋtɐʃ
recasamentarão	ʁˌekɐzɐmˌeɪŋtɐɾˈɐ̃ʊ̃
recasamentando	ʁˌekɐzɐmeɪŋtˈɐ̃ŋdʊ
recasamentado	ʁˌekɐzɐmeɪŋtˈadʊ
recasamento	ʁˌekɐzɐmˈeɪŋtʊ
recasamentassem	ʁˌekɐzɐmeɪŋtˈaseɪŋ
recasamentarem	ʁˌekɐzɐmeɪŋtˈaɾeɪŋ
recasamentem	ʁˌekɐzɐmˈeɪŋteɪŋ
recasamentavam	ʁˌekɐzɐmeɪŋtˈavɐ̃ʊ̃
recasamentariam	ʁˌekɐzɐmˌeɪŋtɐɾˈiɐ̃ʊ̃
recasamentaram	ʁˌekɐzɐmeɪŋtˈaɾɐ̃ʊ̃
recasamentam	ʁˌekɐzɐmˈeɪŋtɐ̃ʊ̃
recasamentarei	ʁˌekɐzɐmˌeɪŋtɐɾˈeɪ
recasamentei	ʁˌekɐzɐmeɪŋtˈeɪ
recasamentai	ʁˌekɐzɐmeɪŋtˈaɪ
recasamentaste	ʁˌekɐzɐmeɪŋtˈaʃtɨ
recasamentasse	ʁˌekɐzɐmeɪŋtˈasɨ
recasamente	ʁˌekɐzɐmˈeɪŋtɨ
recasamentava	ʁˌekɐzɐmeɪŋtˈavɐ
recasamentaria	ʁˌekɐzɐmˌeɪŋtɐɾˈiɐ
recasamentada	ʁˌekɐzɐmeɪŋtˈadɐ
recasamentara	ʁˌekɐzɐmeɪŋtˈaɾɐ
recasamenta	ʁˌekɐzɐmˈeɪŋtɐ
recasamentar	ʁˌekɐzɐmeɪŋtˈaɹ
casamentará	kˌɐzɐmˌeɪŋtɐɾˈa
casamentá	kˌɐzɐmeɪŋtˈa
casamentou	kˌɐzɐmeɪŋtˈow
casamentarás	kˌɐzɐmˌeɪŋtɐɾˈaʃ
casamentámos	kˌɐzɐmeɪŋtˈamʊʃ
casamentássemos	kˌɐzɐmeɪŋtˈasɨmʊʃ
casamentaremos	kˌɐzɐmˌeɪŋtɐɾˈemʊʃ
casamentemos	kˌɐzɐmeɪŋtˈemʊʃ
casamentaríamos	kˌɐzɐmˌeɪŋtɐɾˈiɐ̃mʊʃ
casamentávamos	kˌɐzɐmeɪŋtˈavɐmʊʃ
casamentáramos	kˌɐzɐmeɪŋtˈaɾɐmʊʃ
casamentarmos	kˌɐzɐmeɪŋtˈaɾəmʊʃ
casamentamos	kˌɐzɐmeɪŋtˈɐ̃mʊʃ
casamentados	kˌɐzɐmeɪŋtˈadʊʃ
casamentaríeis	kˌɐzɐmˌeɪŋtɐɾˈieɪʃ
casamentáveis	kˌɐzɐmeɪŋtˈaveɪʃ
casamentásseis	kˌɐzɐmeɪŋtˈaseɪʃ
casamentáreis	kˌɐzɐmeɪŋtˈaɾeɪʃ
casamentareis	kˌɐzɐmˌeɪŋtɐɾˈeɪʃ
casamenteis	kˌɐzɐmeɪŋtˈeɪʃ
casamentais	kˌɐzɐmeɪŋtˈaɪʃ
casamentastes	kˌɐzɐmeɪŋtˈaʃtɨʃ
casamentasses	kˌɐzɐmeɪŋtˈasɨʃ
casamentardes	kˌɐzɐmeɪŋtˈaɾədɨʃ
casamentares	kˌɐzɐmeɪŋtˈaɾɨʃ
casamentes	kˌɐzɐmˈeɪŋtɨʃ
casamentavas	kˌɐzɐmeɪŋtˈavɐʃ
casamentarias	kˌɐzɐmˌeɪŋtɐɾˈiɐʃ
casamentadas	kˌɐzɐmeɪŋtˈadɐʃ
casamentaras	kˌɐzɐmeɪŋtˈaɾɐʃ
casamentas	kˌɐzɐmˈeɪŋtɐʃ
casamentarão	kˌɐzɐmˌeɪŋtɐɾˈɐ̃ʊ̃
casamentando	kˌɐzɐmeɪŋtˈɐ̃ŋdʊ
casamentado	kˌɐzɐmeɪŋtˈadʊ
casamento	kˌɐzɐmˈeɪŋtʊ
casamentassem	kˌɐzɐmeɪŋtˈaseɪŋ
casamentarem	kˌɐzɐmeɪŋtˈaɾeɪŋ
casamentem	kˌɐzɐmˈeɪŋteɪŋ
casamentavam	kˌɐzɐmeɪŋtˈavɐ̃ʊ̃
casamentariam	kˌɐzɐmˌeɪŋtɐɾˈiɐ̃ʊ̃
casamentaram	kˌɐzɐmeɪŋtˈaɾɐ̃ʊ̃
casamentam	kˌɐzɐmˈeɪŋtɐ̃ʊ̃
casamentarei	kˌɐzɐmˌeɪŋtɐɾˈeɪ
casamentei	kˌɐzɐmeɪŋtˈeɪ
casamentai	kˌɐzɐmeɪŋtˈaɪ
casamentaste	kˌɐzɐmeɪŋtˈaʃtɨ
casamentasse	kˌɐzɐmeɪŋtˈasɨ
casamente	kˌɐzɐmˈeɪŋtɨ
casamentava	kˌɐzɐmeɪŋtˈavɐ
casamentaria	kˌɐzɐmˌeɪŋtɐɾˈiɐ
casamentada	kˌɐzɐmeɪŋtˈadɐ
casamentara	kˌɐzɐmeɪŋtˈaɾɐ
casamenta	kˌɐzɐmˈeɪŋtɐ
casamenteiro	kˌɐzɐmeɪŋtˈeɪɾʊ
casamenteiras	kˌɐzɐmeɪŋtˈeɪɾɐʃ
casamenteiros	kˌɐzɐmeɪŋtˈeɪɾʊʃ
casamenteira	kˌɐzɐmeɪŋtˈeɪɾɐ
Casanova	kˌɐzɐnˈɔvɐ
casão	kɐzˈɐ̃ʊ̃
casar	kɐzˈaɹ
descasará	dˌɨʃkɐzɐɾˈa
descasá	dˌɨʃkɐzˈa
descasou	dˌɨʃkɐzˈow
descasarás	dˌɨʃkɐzɐɾˈaʃ
descasamentos	dˌɨʃkɐzɐmˈeɪŋtʊʃ
descasámos	dˌɨʃkɐzˈamʊʃ
descasássemos	dˌɨʃkɐzˈasɨmʊʃ
descasaremos	dˌɨʃkɐzɐɾˈemʊʃ
descasemos	dˌɨʃkɐzˈemʊʃ
descasaríamos	dˌɨʃkɐzɐɾˈiɐ̃mʊʃ
descasávamos	dˌɨʃkɐzˈavɐmʊʃ
descasáramos	dˌɨʃkɐzˈaɾɐmʊʃ
descasarmos	dˌɨʃkɐzˈaɾəmʊʃ
descasamos	dˌɨʃkɐzˈɐ̃mʊʃ
descasados	dˌɨʃkɐzˈadʊʃ
descasaríeis	dˌɨʃkɐzɐɾˈieɪʃ
descasáveis	dˌɨʃkɐzˈaveɪʃ
descasásseis	dˌɨʃkɐzˈaseɪʃ
descasáreis	dˌɨʃkɐzˈaɾeɪʃ
descasareis	dˌɨʃkɐzɐɾˈeɪʃ
descaseis	dˌɨʃkɐzˈeɪʃ
descasais	dˌɨʃkɐzˈaɪʃ
descasastes	dˌɨʃkɐzˈaʃtɨʃ
descasasses	dˌɨʃkɐzˈasɨʃ
descasardes	dˌɨʃkɐzˈaɾədɨʃ
descasares	dˌɨʃkɐzˈaɾɨʃ
descases	dˌɨʃkˈazɨʃ
descasavas	dˌɨʃkɐzˈavɐʃ
descasarias	dˌɨʃkɐzɐɾˈiɐʃ
descasadas	dˌɨʃkɐzˈadɐʃ
descasaras	dˌɨʃkɐzˈaɾɐʃ
descasas	dˌɨʃkˈazɐʃ
descasarão	dˌɨʃkɐzɐɾˈɐ̃ʊ̃
descasamento	dˌɨʃkɐzɐmˈeɪŋtʊ
descasando	dˌɨʃkɐzˈɐ̃ŋdʊ
descasado	dˌɨʃkɐzˈadʊ
descaso	dˌɨʃkˈazʊ
descasassem	dˌɨʃkɐzˈaseɪŋ
descasarem	dˌɨʃkɐzˈaɾeɪŋ
descasem	dˌɨʃkˈazeɪŋ
descasavam	dˌɨʃkɐzˈavɐ̃ʊ̃
descasariam	dˌɨʃkɐzɐɾˈiɐ̃ʊ̃
descasaram	dˌɨʃkɐzˈaɾɐ̃ʊ̃
descasam	dˌɨʃkˈazɐ̃ʊ̃
descasável	dˌɨʃkɐzˈavˌɛl
descasarei	dˌɨʃkɐzɐɾˈeɪ
descasei	dˌɨʃkɐzˈeɪ
descasai	dˌɨʃkɐzˈaɪ
descasaste	dˌɨʃkɐzˈaʃtɨ
descasasse	dˌɨʃkɐzˈasɨ
descase	dˌɨʃkˈazɨ
descasava	dˌɨʃkɐzˈavɐ
descasaria	dˌɨʃkɐzɐɾˈiɐ
descasada	dˌɨʃkɐzˈadɐ
descasara	dˌɨʃkɐzˈaɾɐ
descasa	dˌɨʃkˈazɐ
descasar	dˌɨʃkɐzˈaɹ
casará	kˌɐzɐɾˈa
casá	kɐzˈa
casou	kɐzˈow
casarás	kˌɐzɐɾˈaʃ
casamentos	kˌɐzɐmˈeɪŋtʊʃ
casámos	kˌɐzˈamʊʃ
casássemos	kˌɐzˈasɨmʊʃ
casaremos	kˌɐzɐɾˈemʊʃ
casemos	kˌɐzˈemʊʃ
casaríamos	kˌɐzɐɾˈiɐ̃mʊʃ
casávamos	kˌɐzˈavɐmʊʃ
casáramos	kˌɐzˈaɾɐmʊʃ
casarmos	kˌɐzˈaɾəmʊʃ
casamos	kˌɐzˈɐ̃mʊʃ
casados	kˌɐzˈadʊʃ
casaríeis	kˌɐzɐɾˈieɪʃ
casáveis	kˌɐzˈaveɪʃ
casásseis	kˌɐzˈaseɪʃ
casáreis	kˌɐzˈaɾeɪʃ
casareis	kˌɐzɐɾˈeɪʃ
caseis	kɐzˈeɪʃ
casais	kɐzˈaɪʃ
casastes	kˌɐzˈaʃtɨʃ
casasses	kˌɐzˈasɨʃ
casardes	kˌɐzˈaɾədɨʃ
casares	kˌɐzˈaɾɨʃ
cases	kˈazɨʃ
casavas	kˌɐzˈavɐʃ
casarias	kˌɐzɐɾˈiɐʃ
casadas	kˌɐzˈadɐʃ
casaras	kˌɐzˈaɾɐʃ
casas	kˈazɐʃ
casarão	kˌɐzɐɾˈɐ̃ʊ̃
casamento	kˌɐzɐmˈeɪŋtʊ
casando	kˌɐzˈɐ̃ŋdʊ
casado	kˌɐzˈadʊ
caso	kˈazʊ
casassem	kˌɐzˈaseɪŋ
casarem	kˌɐzˈaɾeɪŋ
casem	kˈazeɪŋ
casavam	kˌɐzˈavɐ̃ʊ̃
casariam	kˌɐzɐɾˈiɐ̃ʊ̃
casaram	kˌɐzˈaɾɐ̃ʊ̃
casam	kˈazɐ̃ʊ̃
casável	kˌɐzˈavˌɛl
casarei	kˌɐzɐɾˈeɪ
casei	kɐzˈeɪ
casai	kɐzˈaɪ
casaste	kˌɐzˈaʃtɨ
casasse	kˌɐzˈasɨ
case	kˈazɨ
casava	kˌɐzˈavɐ
casaria	kˌɐzɐɾˈiɐ
casada	kˌɐzˈadɐ
casara	kˌɐzˈaɾɐ
casa	kˈazɐ
casarão	kˌɐzɐɾˈɐ̃ʊ̃
casaredo	kˌɐzɐɾˈedʊ
casaria	kˌɐzɐɾˈiɐ
casarias	kˌɐzɐɾˈiɐʃ
casario	kˌɐzɐɾˈiʊ
casarias	kˌɐzɐɾˈiɐʃ
casaria	kˌɐzɐɾˈiɐ
casca	kˈaʃkɐ
Cascais	kɐʃkˈaɪʃ
cascalhada	kˌɐʃkɐʎˈadɐ
cascalhar	kˌɐʃkɐʎˈaɹ
cascalhará	kˌɐʃkɐʎɐɾˈa
cascalhá	kˌɐʃkɐʎˈa
cascalhou	kˌɐʃkɐʎˈow
cascalharás	kˌɐʃkɐʎɐɾˈaʃ
cascalhámos	kˌɐʃkɐʎˈamʊʃ
cascalhássemos	kˌɐʃkɐʎˈasɨmʊʃ
cascalharemos	kˌɐʃkɐʎɐɾˈemʊʃ
cascalhemos	kˌɐʃkɐʎˈemʊʃ
cascalharíamos	kˌɐʃkɐʎɐɾˈiɐ̃mʊʃ
cascalhávamos	kˌɐʃkɐʎˈavɐmʊʃ
cascalháramos	kˌɐʃkɐʎˈaɾɐmʊʃ
cascalharmos	kˌɐʃkɐʎˈaɾəmʊʃ
cascalhamos	kˌɐʃkɐʎˈɐ̃mʊʃ
cascalhados	kˌɐʃkɐʎˈadʊʃ
cascalharíeis	kˌɐʃkɐʎɐɾˈieɪʃ
cascalháveis	kˌɐʃkɐʎˈaveɪʃ
cascalhásseis	kˌɐʃkɐʎˈaseɪʃ
cascalháreis	kˌɐʃkɐʎˈaɾeɪʃ
cascalhareis	kˌɐʃkɐʎɐɾˈeɪʃ
cascalheis	kˌɐʃkɐʎˈeɪʃ
cascalhais	kˌɐʃkɐʎˈaɪʃ
cascalhastes	kˌɐʃkɐʎˈaʃtɨʃ
cascalhasses	kˌɐʃkɐʎˈasɨʃ
cascalhardes	kˌɐʃkɐʎˈaɾədɨʃ
cascalhares	kˌɐʃkɐʎˈaɾɨʃ
cascalhes	kˌɐʃkˈaʎɨʃ
cascalhavas	kˌɐʃkɐʎˈavɐʃ
cascalharias	kˌɐʃkɐʎɐɾˈiɐʃ
cascalhadas	kˌɐʃkɐʎˈadɐʃ
cascalharas	kˌɐʃkɐʎˈaɾɐʃ
cascalhas	kˌɐʃkˈaʎɐʃ
cascalharão	kˌɐʃkɐʎɐɾˈɐ̃ʊ̃
cascalhando	kˌɐʃkɐʎˈɐ̃ŋdʊ
cascalhado	kˌɐʃkɐʎˈadʊ
cascalho	kˌɐʃkˈaʎʊ
cascalhassem	kˌɐʃkɐʎˈaseɪŋ
cascalharem	kˌɐʃkɐʎˈaɾeɪŋ
cascalhem	kˌɐʃkˈaʎeɪŋ
cascalhavam	kˌɐʃkɐʎˈavɐ̃ʊ̃
cascalhariam	kˌɐʃkɐʎɐɾˈiɐ̃ʊ̃
cascalharam	kˌɐʃkɐʎˈaɾɐ̃ʊ̃
cascalham	kˌɐʃkˈaʎɐ̃ʊ̃
cascalharei	kˌɐʃkɐʎɐɾˈeɪ
cascalhei	kˌɐʃkɐʎˈeɪ
cascalhai	kˌɐʃkɐʎˈaɪ
cascalhaste	kˌɐʃkɐʎˈaʃtɨ
cascalhasse	kˌɐʃkɐʎˈasɨ
cascalhe	kˌɐʃkˈaʎɨ
cascalhava	kˌɐʃkɐʎˈavɐ
cascalharia	kˌɐʃkɐʎɐɾˈiɐ
cascalhada	kˌɐʃkɐʎˈadɐ
cascalhara	kˌɐʃkɐʎˈaɾɐ
cascalha	kˌɐʃkˈaʎɐ
cascalheira	kˌɐʃkɐʎˈeɪɾɐ
cascalheiras	kˌɐʃkɐʎˈeɪɾɐʃ
cascalhento	kˌɐʃkɐʎˈeɪŋtʊ
cascalho	kˌɐʃkˈaʎʊ
cascalhinhas	kˌɐʃkɐʎˈiɲɐʃ
cascalhinha	kˌɐʃkɐʎˈiɲɐ
cascalhoso	kˌɐʃkɐʎˈozʊ
cascalhudo	kˌɐʃkɐʎˈudʊ
cascão	kɐʃkˈɐ̃ʊ̃
cascar	kɐʃkˈaɹ
cascará	kˌɐʃkɐɾˈa
cascá	kɐʃkˈa
cascou	kɐʃkˈow
cascarás	kˌɐʃkɐɾˈaʃ
cascámos	kˌɐʃkˈamʊʃ
casquemos	kˌɐʃkˈemʊʃ
cascássemos	kˌɐʃkˈasɨmʊʃ
cascaremos	kˌɐʃkɐɾˈemʊʃ
cascaríamos	kˌɐʃkɐɾˈiɐ̃mʊʃ
cascávamos	kˌɐʃkˈavɐmʊʃ
cascáramos	kˌɐʃkˈaɾɐmʊʃ
cascarmos	kˌɐʃkˈaɾəmʊʃ
cascamos	kˌɐʃkˈɐ̃mʊʃ
cascados	kˌɐʃkˈadʊʃ
cascaríeis	kˌɐʃkɐɾˈieɪʃ
cascáveis	kˌɐʃkˈaveɪʃ
casqueis	kɐʃkˈeɪʃ
cascásseis	kˌɐʃkˈaseɪʃ
cascáreis	kˌɐʃkˈaɾeɪʃ
cascareis	kˌɐʃkɐɾˈeɪʃ
cascais	kɐʃkˈaɪʃ
casques	kˈaʃkɨʃ
cascastes	kˌɐʃkˈaʃtɨʃ
cascasses	kˌɐʃkˈasɨʃ
cascardes	kˌɐʃkˈaɾədɨʃ
cascares	kˌɐʃkˈaɾɨʃ
cascavas	kˌɐʃkˈavɐʃ
cascarias	kˌɐʃkɐɾˈiɐʃ
cascadas	kˌɐʃkˈadɐʃ
cascaras	kˌɐʃkˈaɾɐʃ
cascas	kˈaʃkɐʃ
cascarão	kˌɐʃkɐɾˈɐ̃ʊ̃
cascando	kˌɐʃkˈɐ̃ŋdʊ
cascado	kˌɐʃkˈadʊ
casco	kˈaʃkʊ
casquem	kˈaʃkeɪŋ
cascassem	kˌɐʃkˈaseɪŋ
cascarem	kˌɐʃkˈaɾeɪŋ
cascavam	kˌɐʃkˈavɐ̃ʊ̃
cascariam	kˌɐʃkɐɾˈiɐ̃ʊ̃
cascaram	kˌɐʃkˈaɾɐ̃ʊ̃
cascam	kˈaʃkɐ̃ʊ̃
casquei	kɐʃkˈeɪ
cascarei	kˌɐʃkɐɾˈeɪ
cascai	kɐʃkˈaɪ
casque	kˈaʃkɨ
cascaste	kˌɐʃkˈaʃtɨ
cascasse	kˌɐʃkˈasɨ
cascava	kˌɐʃkˈavɐ
cascaria	kˌɐʃkɐɾˈiɐ
cascada	kˌɐʃkˈadɐ
cascara	kˌɐʃkˈaɾɐ
casca	kˈaʃkɐ
cascaria	kˌɐʃkɐɾˈiɐ
cascarias	kˌɐʃkɐɾˈiɐʃ
cascarrão	kˌɐʃkɐʁˈɐ̃ʊ̃
cascata	kˌɐʃkˈatɐ
cascatas	kˌɐʃkˈatɐʃ
cascatear	kˌɐʃkɐtiˈaɹ
cascateá	kˌɐʃkɐtɨˈa
cascateará	kˌɐʃkɐtˌiɐɾˈa
cascateou	kˌɐʃkɐtˈiuw
cascatearás	kˌɐʃkɐtˌiɐɾˈaʃ
cascateámos	kˌɐʃkɐtɨˈamʊʃ
cascateássemos	kˌɐʃkɐtɨˈasɨmʊʃ
cascateemos	kˌɐʃkɐtiˈemʊʃ
cascatearemos	kˌɐʃkɐtˌiɐɾˈemʊʃ
cascatearíamos	kˌɐʃkɐtˌiɐɾˈiɐ̃mʊʃ
cascateávamos	kˌɐʃkɐtɨˈavɐmʊʃ
cascateáramos	kˌɐʃkɐtɨˈaɾɐmʊʃ
cascateamos	kˌɐʃkɐtiˈɐ̃mʊʃ
cascatearmos	kˌɐʃkɐtiˈaɾəmʊʃ
cascateados	kˌɐʃkɐtiˈadʊʃ
cascatearíeis	kˌɐʃkɐtˌiɐɾˈieɪʃ
cascateáveis	kˌɐʃkɐtɨˈaveɪʃ
cascateásseis	kˌɐʃkɐtɨˈaseɪʃ
cascateáreis	kˌɐʃkɐtɨˈaɾeɪʃ
cascateeis	kˌɐʃkɐtiˈeɪʃ
cascateareis	kˌɐʃkɐtˌiɐɾˈeɪʃ
cascateais	kˌɐʃkɐtiˈaɪʃ
cascateastes	kˌɐʃkɐtiˈaʃtɨʃ
cascateasses	kˌɐʃkɐtiˈasɨʃ
cascateies	kˌɐʃkɐtˈeɪɨʃ
cascateardes	kˌɐʃkɐtiˈaɾədɨʃ
cascateares	kˌɐʃkɐtiˈaɾɨʃ
cascateavas	kˌɐʃkɐtiˈavɐʃ
cascateias	kˌɐʃkɐtˈeɪɐʃ
cascatearias	kˌɐʃkɐtˌiɐɾˈiɐʃ
cascateadas	kˌɐʃkɐtiˈadɐʃ
cascatearas	kˌɐʃkɐtiˈaɾɐʃ
cascatearão	kˌɐʃkɐtˌiɐɾˈɐ̃ʊ̃
cascateio	kˌɐʃkɐtˈeɪʊ
cascateando	kˌɐʃkɐtiˈɐ̃ŋdʊ
cascateado	kˌɐʃkɐtiˈadʊ
cascateassem	kˌɐʃkɐtiˈaseɪŋ
cascateiem	kˌɐʃkɐtˈeɪeɪŋ
cascatearem	kˌɐʃkɐtiˈaɾeɪŋ
cascateavam	kˌɐʃkɐtiˈavɐ̃ʊ̃
cascateiam	kˌɐʃkɐtˈeɪɐ̃ʊ̃
cascateariam	kˌɐʃkɐtˌiɐɾˈiɐ̃ʊ̃
cascatearam	kˌɐʃkɐtiˈaɾɐ̃ʊ̃
cascatearei	kˌɐʃkɐtˌiɐɾˈeɪ
cascateei	kˌɐʃkɐtiˈeɪ
cascateai	kˌɐʃkɐtiˈaɪ
cascateaste	kˌɐʃkɐtiˈaʃtɨ
cascateasse	kˌɐʃkɐtiˈasɨ
cascateie	kˌɐʃkɐtˈeɪɨ
cascateava	kˌɐʃkɐtiˈavɐ
cascateia	kˌɐʃkɐtˈeɪɐ
cascatearia	kˌɐʃkɐtˌiɐɾˈiɐ
cascateada	kˌɐʃkɐtiˈadɐ
cascateara	kˌɐʃkɐtiˈaɾɐ
cascavel	kˌɐʃkˈavˌɛl
cascavéis	kˌɐʃkɐvˈɛɪʃ
casco	kˈaʃkʊ
cascos	kˈaʃkʊʃ
cascoso	kˌɐʃkˈozʊ
cascosos	kˌɐʃkˈozʊʃ
cascudo	kˌɐʃkˈudʊ
cascudos	kˌɐʃkˈudʊʃ
casebre	kˌɐzˈɛbɹɨ
casebres	kˌɐzˈebɹɨʃ
caseína	kˌɐzɨˈinɐ
caseínico	kˌɐzɨˈinikʊ
caseira	kˌɐzˈeɪɾɐ
caseiro	kˌɐzˈeɪɾʊ
caseirismos	kˌɐzeɪɾˈiʒmʊʃ
caseiras	kˌɐzˈeɪɾɐʃ
caseiros	kˌɐzˈeɪɾʊʃ
caseirismo	kˌɐzeɪɾˈiʒmʊ
caseira	kˌɐzˈeɪɾɐ
caserna	kˌɐzˈɛɾənɐ
casernas	kˌɐzˈeɾənɐʃ
caserneiral	kˌɐzɨɾəneɪɾˈɑl
caserneiro	kˌɐzɨɾənˈeɪɾʊ
casimira	kˌɐzimˈiɾɐ
Casimiro	kˌɐzimˈiɾʊ
casinha	kˌɐzˈiɲɐ
casinhas	kˌɐzˈiɲɐʃ
casinhola	kˌɐziɲˈɔlɐ
casinholo	kˌɐziɲˈɔlʊ
casinholas	kˌɐziɲˈolɐʃ
casinhola	kˌɐziɲˈɔlɐ
casinhota	kˌɐziɲˈɔtɐ
casinhoto	kˌɐziɲˈɔtʊ
casinhotas	kˌɐziɲˈotɐʃ
casinhota	kˌɐziɲˈɔtɐ
casino	kˌɐzˈinʊ
casinos	kˌɐzˈinʊʃ
casmurrada	kˌɐʒmuʁˈadɐ
casmurral	kˌɐʒmuʁˈɑl
casmurro	kˌɐʒmˈuʁʊ
casmurrices	kˌɐʒmuʁˈisɨʃ
casmurras	kˌɐʒmˈuʁɐʃ
casmurros	kˌɐʒmˈuʁʊʃ
casmurrice	kˌɐʒmuʁˈisɨ
casmurra	kˌɐʒmˈuʁɐ
caso	kˈazʊ
casos	kˈazʊʃ
casório	kˌɐzˈɔɾjʊ
casota	kˌɐzˈɔtɐ
casoto	kˌɐzˈɔtʊ
casotas	kˌɐzˈotɐʃ
casota	kˌɐzˈɔtɐ
caspa	kˈaʃpɐ
Cáspio	kˈaʃpjʊ
casposo	kˌɐʃpˈozʊ
casqueira	kˌɐʃkˈeɪɾɐ
casqueiro	kˌɐʃkˈeɪɾʊ
casqueiras	kˌɐʃkˈeɪɾɐʃ
casqueira	kˌɐʃkˈeɪɾɐ
casquento	kˌɐʃkˈeɪŋtʊ
casquilha	kˌɐʃkˈiʎɐ
casquilhada	kˌɐʃkiʎˈadɐ
casquilhar	kˌɐʃkiʎˈaɹ
casquilhará	kˌɐʃkiʎɐɾˈa
casquilhá	kˌɐʃkiʎˈa
casquilhou	kˌɐʃkiʎˈow
casquilharás	kˌɐʃkiʎɐɾˈaʃ
casquilhámos	kˌɐʃkiʎˈamʊʃ
casquilhássemos	kˌɐʃkiʎˈasɨmʊʃ
casquilharemos	kˌɐʃkiʎɐɾˈemʊʃ
casquilhemos	kˌɐʃkiʎˈemʊʃ
casquilharíamos	kˌɐʃkiʎɐɾˈiɐ̃mʊʃ
casquilhávamos	kˌɐʃkiʎˈavɐmʊʃ
casquilháramos	kˌɐʃkiʎˈaɾɐmʊʃ
casquilharmos	kˌɐʃkiʎˈaɾəmʊʃ
casquilhamos	kˌɐʃkiʎˈɐ̃mʊʃ
casquilhados	kˌɐʃkiʎˈadʊʃ
casquilharíeis	kˌɐʃkiʎɐɾˈieɪʃ
casquilháveis	kˌɐʃkiʎˈaveɪʃ
casquilhásseis	kˌɐʃkiʎˈaseɪʃ
casquilháreis	kˌɐʃkiʎˈaɾeɪʃ
casquilhareis	kˌɐʃkiʎɐɾˈeɪʃ
casquilheis	kˌɐʃkiʎˈeɪʃ
casquilhais	kˌɐʃkiʎˈaɪʃ
casquilhastes	kˌɐʃkiʎˈaʃtɨʃ
casquilhasses	kˌɐʃkiʎˈasɨʃ
casquilhardes	kˌɐʃkiʎˈaɾədɨʃ
casquilhares	kˌɐʃkiʎˈaɾɨʃ
casquilhes	kˌɐʃkˈiʎɨʃ
casquilhavas	kˌɐʃkiʎˈavɐʃ
casquilharias	kˌɐʃkiʎɐɾˈiɐʃ
casquilhadas	kˌɐʃkiʎˈadɐʃ
casquilharas	kˌɐʃkiʎˈaɾɐʃ
casquilhas	kˌɐʃkˈiʎɐʃ
casquilharão	kˌɐʃkiʎɐɾˈɐ̃ʊ̃
casquilhando	kˌɐʃkiʎˈɐ̃ŋdʊ
casquilhado	kˌɐʃkiʎˈadʊ
casquilho	kˌɐʃkˈiʎʊ
casquilhassem	kˌɐʃkiʎˈaseɪŋ
