a	'a
auferistes	,aUfy*'is#tys#
auferisses	,aUfy*'isys#
auferirdes	,aUfy*'i*@-dys#
auferes	,aUf'e*ys#
auferires	,aUfy*'i*ys#
aufiras	,aUf'i*&s#
auferirias	,aUfy*i*'i;&s#
auferidas	,aUfy*'id&s#
auferiras	,aUfy*'i*&s#
auferias	,aUfy*'i;&s#
auferis	,aUfy*'is#
auferirão	,aUfy*i*'&U~
aufiro	,aUf'i*U
auferindo	,aUfy*'iNdU
auferido	,aUfy*'idU
auferissem	,aUfy*'iseIN
auferem	,aUf'E*eIN
auferirem	,aUfy*'i*eIN
aufiram	,aUf'i*&U~
aufeririam	,aUfy*i*'i;&U~
auferiram	,aUfy*'i*&U~
auferiam	,aUfy*'i;&U~
auferível	,aUfy*'iv,El
auferirei	,aUfy*i*'eI
auferi	,aUfy*'i
auferiste	,aUfy*'is#ty
auferisse	,aUfy*'isy
aufere	,aUf'E*y
aufira	,aUf'i*&
auferiria	,aUfy*i*'i;&
auferida	,aUfy*'id&
auferira	,aUfy*'i*&
auferia	,aUfy*'i;&
auge	'aUZy
augir	aUZ'ir-
augirá	,aUZi*'a
augiu	aUZ'iU
augirás	,aUZi*'as#
augíssemos	,aUZ'isymUs#
augiremos	,aUZi*'emUs#
augiríamos	,aUZi*'i;&~mUs#
augíamos	,aUZ'i;&~mUs#
augíramos	,aUZ'i*&mUs#
augirmos	,aUZ'i*@-mUs#
augimos	,aUZ'imUs#
augidos	,aUZ'idUs#
augiríeis	,aUZi*'i;eIs#
augíeis	,aUZ'i;eIs#
augísseis	,aUZ'iseIs#
augíreis	,aUZ'i*eIs#
augireis	,aUZi*'eIs#
augistes	,aUZ'is#tys#
augisses	,aUZ'isys#
augirdes	,aUZ'i*@-dys#
augires	,aUZ'i*ys#
augirias	,aUZi*'i;&s#
augidas	,aUZ'id&s#
augiras	,aUZ'i*&s#
augias	,aUZ'i;&s#
augirão	,aUZi*'&U~
augindo	,aUZ'iNdU
augido	,aUZ'idU
augissem	,aUZ'iseIN
augirem	,aUZ'i*eIN
augiriam	,aUZi*'i;&U~
augiram	,aUZ'i*&U~
augiam	,aUZ'i;&U~
augirei	,aUZi*'eI
augi	aUZ'i
augiste	,aUZ'is#ty
augisse	,aUZ'isy
augiria	,aUZi*'i;&
augida	,aUZ'id&
augira	,aUZ'i*&
augia	,aUZ'i;&
augurar	,aUgu*'ar-
augurará	,aUgu*&*'a
augurá	,aUgu*'a
augurou	,aUgu*'ow
augurarás	,aUgu*&*'as#
augurámos	,aUgu*'amUs#
augurássemos	,aUgu*'asymUs#
auguraremos	,aUgu*&*'emUs#
auguremos	,aUgu*'emUs#
auguraríamos	,aUgu*&*'i;&~mUs#
augurávamos	,aUgu*'av&mUs#
auguráramos	,aUgu*'a*&mUs#
augurarmos	,aUgu*'a*@-mUs#
auguramos	,aUgu*'&~mUs#
augurados	,aUgu*'adUs#
auguraríeis	,aUgu*&*'i;eIs#
auguráveis	,aUgu*'aveIs#
augurásseis	,aUgu*'aseIs#
auguráreis	,aUgu*'a*eIs#
augurareis	,aUgu*&*'eIs#
augureis	,aUgu*'eIs#
augurais	,aUgu*'aIs#
augurações	,aUgu*&s'o~js#
augurastes	,aUgu*'as#tys#
augurasses	,aUgu*'asys#
augurardes	,aUgu*'a*@-dys#
augurares	,aUgu*'a*ys#
augures	,aUg'u*ys#
auguravas	,aUgu*'av&s#
augurarias	,aUgu*&*'i;&s#
auguradas	,aUgu*'ad&s#
auguraras	,aUgu*'a*&s#
auguras	,aUg'u*&s#
auguração	,aUgu*&s'&U~
augurarão	,aUgu*&*'&U~
augurando	,aUgu*'&~NdU
augurado	,aUgu*'adU
auguro	,aUg'u*U
augurassem	,aUgu*'aseIN
augurarem	,aUgu*'a*eIN
augurem	,aUg'u*eIN
auguravam	,aUgu*'av&U~
augurariam	,aUgu*&*'i;&U~
auguraram	,aUgu*'a*&U~
auguram	,aUg'u*&U~
augurarei	,aUgu*&*'eI
augurei	,aUgu*'eI
augurai	,aUgu*'aI
auguraste	,aUgu*'as#ty
augurasse	,aUgu*'asy
augure	,aUg'u*y
augurava	,aUgu*'av&
auguraria	,aUgu*&*'i;&
augurada	,aUgu*'ad&
augurara	,aUgu*'a*&
augura	,aUg'u*&
augúrio	,aUg'u*jU
augúrios	,aUg'u*iUs#
Augusta	,aUg'us#t&
augustal	,aUgus#t'Al
Augustini	,aUgus#tin'i
augustinianismo	,aUgus#t,ini;&n'iZmU
augustinianismos	,aUgus#t,ini;&n'iZmUs#
augustiniano	,aUgus#t,ini;'&~nU
augustinianas	,aUgus#t,ini;'&~n&s#
augustinianos	,aUgus#t,ini;'&~nUs#
augustiniana	,aUgus#t,ini;'&~n&
augusto	,aUg'us#tU
augustos	,aUg'us#tUs#
Augusto	,aUg'us#tU
aula	'aUl&
aulas	'aUl&s#
aumentador	,aUmeINt&d'or-
aumentar	,aUmeINt'ar-
aumentará	,aUmeINt&*'a
aumentá	,aUmeINt'a
aumentou	,aUmeINt'ow
aumentarás	,aUmeINt&*'as#
aumentámos	,aUmeINt'amUs#
aumentássemos	,aUmeINt'asymUs#
aumentaremos	,aUmeINt&*'emUs#
aumentemos	,aUmeINt'emUs#
aumentaríamos	,aUmeINt&*'i;&~mUs#
aumentávamos	,aUmeINt'av&mUs#
aumentáramos	,aUmeINt'a*&mUs#
aumentarmos	,aUmeINt'a*@-mUs#
aumentamos	,aUmeINt'&~mUs#
aumentados	,aUmeINt'adUs#
aumentaríeis	,aUmeINt&*'i;eIs#
aumentáveis	,aUmeINt'aveIs#
aumentásseis	,aUmeINt'aseIs#
aumentáreis	,aUmeINt'a*eIs#
aumentareis	,aUmeINt&*'eIs#
aumenteis	,aUmeINt'eIs#
aumentais	,aUmeINt'aIs#
aumentações	,aUmeINt&s'o~js#
aumentastes	,aUmeINt'as#tys#
aumentasses	,aUmeINt'asys#
aumentadores	,aUmeINt&d'o*ys#
aumentardes	,aUmeINt'a*@-dys#
aumentares	,aUmeINt'a*ys#
aumentes	,aUm'eINtys#
aumentavas	,aUmeINt'av&s#
aumentadoras	,aUmeINt&d'o*&s#
aumentarias	,aUmeINt&*'i;&s#
aumentadas	,aUmeINt'ad&s#
aumentaras	,aUmeINt'a*&s#
aumentas	,aUm'eINt&s#
aumentador	,aUmeINt&d'or-
aumentação	,aUmeINt&s'&U~
aumentarão	,aUmeINt&*'&U~
aumentando	,aUmeINt'&~NdU
aumentado	,aUmeINt'adU
aumento	,aUm'eINtU
aumentassem	,aUmeINt'aseIN
aumentarem	,aUmeINt'a*eIN
aumentem	,aUm'eINteIN
aumentavam	,aUmeINt'av&U~
aumentariam	,aUmeINt&*'i;&U~
aumentaram	,aUmeINt'a*&U~
aumentam	,aUm'eINt&U~
aumentável	,aUmeINt'av,El
aumentarei	,aUmeINt&*'eI
aumentei	,aUmeINt'eI
aumentai	,aUmeINt'aI
aumentaste	,aUmeINt'as#ty
aumentasse	,aUmeINt'asy
aumente	,aUm'eINty
aumentava	,aUmeINt'av&
aumentadora	,aUmeINt&d'o*&
aumentaria	,aUmeINt&*'i;&
aumentada	,aUmeINt'ad&
aumentara	,aUmeINt'a*&
aumenta	,aUm'eINt&
aumentativo	,aUmeINt&t'ivU
aumentativos	,aUmeINt&t'ivUs#
aumento	,aUm'eINtU
aumentos	,aUm'eINtUs#
aúna	,&'un&
aunai	aUn'aI
aunais	aUn'aIs#
aúnam	,&'un&U~
aunamos	,aUn'&~mUs#
aúnas	,&'un&s#
aúne	,&'uny
auneis	aUn'eIs#
aúnem	,&'uneIN
aunemos	,aUn'emUs#
aúnes	,&'unys#
aúno	,&'unU
aura	'aU*&
auras	'aU*&s#
Aurélia	,aU*'Elj&
Aurélio	,aU*'EljU
áureo	'aU*i;U
áureas	'aU*i;&s#
áureos	'aU*i;Us#
áurea	'aU*i;&
auréola	,aU*'EOl&
aureolar	,aU*'i;ul&r-
aureolará	,aU*i;,ul&*'a
aureolá	,aU*i;ul'a
aureolou	,aU*'i;uluw
aureolarás	,aU*i;,ul&*'as#
aureolámos	,aU*i;ul'amUs#
aureolássemos	aU*,i;ul'asymUs#
aureolaremos	aU*,i;ul&*'emUs#
aureolemos	aU*,i;ul'emUs#
aureolaríamos	aU*,i;ul&*'i;&~mUs#
aureolávamos	,aU*i;ul'av&mUs#
aureoláramos	,aU*i;ul'a*&mUs#
aureolarmos	aU*,i;ul'a*@-mUs#
aureolamos	aU*,i;ul'&~mUs#
aureolados	aU*,i;ul'adUs#
aureolaríeis	,aU*i;,ul&*'i;eIs#
aureoláveis	,aU*i;ul'aveIs#
aureolásseis	,aU*i;ul'aseIs#
aureoláreis	,aU*i;ul'a*eIs#
aureolareis	,aU*'i;ul,&*eIs#
aureoleis	,aU*'i;uleIs#
aureolais	,aU*'i;ulaIs#
aureolastes	aU*,i;ul'as#tys#
aureolasses	aU*,i;ul'asys#
aureolardes	aU*,i;ul'a*@-dys#
aureolares	aU*,i;ul'a*ys#
aureoles	aU*,i;'olys#
aureolavas	aU*,i;ul'av&s#
aureolarias	aU*,i;ul&*'i;&s#
aureoladas	aU*,i;ul'ad&s#
aureolaras	aU*,i;ul'a*&s#
aureolas	aU*,i;'ol&s#
aureolarão	,aU*'i;ul,&*&U~
aureolando	aU*,i;ul'&~NdU
aureolado	aU*,i;ul'adU
aureolo	aU*,i;'OlU
aureolassem	aU*,i;ul'aseIN
aureolarem	aU*,i;ul'a*eIN
aureolem	aU*,i;'OleIN
aureolavam	aU*,i;ul'av&U~
aureolariam	,aU*'i;ul&*'i;&U~
aureolaram	aU*,i;ul'a*&U~
aureolam	aU*,i;'Ol&U~
aureolarei	,aU*'i;ul,&*eI
aureolei	,aU*'i;uleI
aureolai	,aU*'i;ulaI
aureolaste	aU*,i;ul'as#ty
aureolasse	aU*,i;ul'asy
aureole	aU*,i;'Oly
aureolava	aU*,i;ul'av&
aureolaria	,aU*'i;ul&*'i;&
aureolada	aU*,i;ul'ad&
aureolara	aU*,i;ul'a*&
aureola	aU*,i;'Ol&
auricolo	,aU*ik'OlU
auricolor	,aU*ikul'or-
aurícula	,aU*'ikul&
auriculado	,aU*ikul'adU
auricular	,aU*ikul'ar-
auriculares	,aU*ikul'a*ys#
aurífero	,aU*'ify*U
auríferas	,aU*'ify*&s#
auríferos	,aU*'ify*Us#
aurífera	,aU*'ify*&
aurificar	,aU*ifik'ar-
aurificará	,aU*if,ik&*'a
aurificá	,aU*ifik'a
aurificou	,aU*ifik'ow
aurificarás	,aU*if,ik&*'as#
aurificámos	,aU*ifik'amUs#
aurifiquemos	,aU*ifik'emUs#
aurificássemos	,aU*ifik'asymUs#
aurificaremos	,aU*if,ik&*'emUs#
aurificaríamos	,aU*if,ik&*'i;&~mUs#
aurificávamos	,aU*ifik'av&mUs#
aurificáramos	,aU*ifik'a*&mUs#
aurificarmos	,aU*ifik'a*@-mUs#
aurificamos	,aU*ifik'&~mUs#
aurificados	,aU*ifik'adUs#
aurificaríeis	,aU*if,ik&*'i;eIs#
aurificáveis	,aU*ifik'aveIs#
aurifiqueis	,aU*ifik'eIs#
aurificásseis	,aU*ifik'aseIs#
aurificáreis	,aU*ifik'a*eIs#
aurificareis	,aU*if,ik&*'eIs#
aurificais	,aU*ifik'aIs#
aurifiques	,aU*if'ikys#
aurificastes	,aU*ifik'as#tys#
aurificasses	,aU*ifik'asys#
aurificardes	,aU*ifik'a*@-dys#
aurificares	,aU*ifik'a*ys#
aurificavas	,aU*ifik'av&s#
aurificarias	,aU*if,ik&*'i;&s#
aurificadas	,aU*ifik'ad&s#
aurificaras	,aU*ifik'a*&s#
aurificas	,aU*if'ik&s#
aurificarão	,aU*if,ik&*'&U~
aurificando	,aU*ifik'&~NdU
aurificado	,aU*ifik'adU
aurifico	,aU*if'ikU
aurifiquem	,aU*if'ikeIN
aurificassem	,aU*ifik'aseIN
aurificarem	,aU*ifik'a*eIN
aurificavam	,aU*ifik'av&U~
aurificariam	,aU*if,ik&*'i;&U~
aurificaram	,aU*ifik'a*&U~
aurificam	,aU*if'ik&U~
aurifiquei	,aU*ifik'eI
aurificarei	,aU*if,ik&*'eI
aurificai	,aU*ifik'aI
aurifique	,aU*if'iky
aurificaste	,aU*ifik'as#ty
aurificasse	,aU*ifik'asy
aurificava	,aU*ifik'av&
aurificaria	,aU*if,ik&*'i;&
aurificada	,aU*ifik'ad&
aurificara	,aU*ifik'a*&
aurifica	,aU*if'ik&
aurífice	,aU*'ifisy
aurifício	,aU*if'isjU
aurífico	,aU*'ifikU
auríficas	,aU*'ifik&s#
auríficos	,aU*'ifikUs#
aurífica	,aU*'ifik&
aurora	,aU*'O*&
auroras	,aU*'o*&s#
auroral	,aU*u*'Al
aurorar	,aU*u*'ar-
aurorará	,aU*u*&*'a
aurorá	,aU*u*'a
aurorou	,aU*u*'ow
aurorarás	,aU*u*&*'as#
aurorámos	,aU*u*'amUs#
aurorássemos	,aU*u*'asymUs#
auroraremos	,aU*u*&*'emUs#
auroremos	,aU*u*'emUs#
auroraríamos	,aU*u*&*'i;&~mUs#
aurorávamos	,aU*u*'av&mUs#
auroráramos	,aU*u*'a*&mUs#
aurorarmos	,aU*u*'a*@-mUs#
auroramos	,aU*u*'&~mUs#
aurorados	,aU*u*'adUs#
auroraríeis	,aU*u*&*'i;eIs#
auroráveis	,aU*u*'aveIs#
aurorásseis	,aU*u*'aseIs#
auroráreis	,aU*u*'a*eIs#
aurorareis	,aU*u*&*'eIs#
auroreis	,aU*u*'eIs#
aurorais	,aU*u*'aIs#
aurorastes	,aU*u*'as#tys#
aurorasses	,aU*u*'asys#
aurorardes	,aU*u*'a*@-dys#
aurorares	,aU*u*'a*ys#
aurores	,aU*'o*ys#
auroravas	,aU*u*'av&s#
aurorarias	,aU*u*&*'i;&s#
auroradas	,aU*u*'ad&s#
auroraras	,aU*u*'a*&s#
auroras	,aU*'o*&s#
aurorarão	,aU*u*&*'&U~
aurorando	,aU*u*'&~NdU
aurorado	,aU*u*'adU
auroro	,aU*'O*U
aurorassem	,aU*u*'aseIN
aurorarem	,aU*u*'a*eIN
aurorem	,aU*'O*eIN
auroravam	,aU*u*'av&U~
aurorariam	,aU*u*&*'i;&U~
auroraram	,aU*u*'a*&U~
auroram	,aU*'O*&U~
aurorarei	,aU*u*&*'eI
aurorei	,aU*u*'eI
aurorai	,aU*u*'aI
auroraste	,aU*u*'as#ty
aurorasse	,aU*u*'asy
aurore	,aU*'O*y
aurorava	,aU*u*'av&
auroraria	,aU*u*&*'i;&
aurorada	,aU*u*'ad&
aurorara	,aU*u*'a*&
aurora	,aU*'O*&
auroreal	,aU*u*i;'Al
aurorescer	,aU*u*ys'er-
aurorescê	,aU*u*ys'e
aurorescerá	,aU*u*,esy*'a
auroresceu	,aU*u*ys'eU
aurorescerás	,aU*u*,esy*'as#
aurorescêssemos	,aU*u*ys'esymUs#
auroresceremos	,aU*u*,esy*'emUs#
auroresceríamos	,aU*u*,esy*'i;&~mUs#
aurorescíamos	,aU*u*ys'i;&~mUs#
auroresçamos	,aU*u*ys#s'&~mUs#
aurorescêramos	,aU*u*ys'e*&mUs#
aurorescermos	,aU*u*ys'e*@-mUs#
aurorescemos	,aU*u*ys'emUs#
aurorescidos	,aU*u*ys'idUs#
auroresceríeis	,aU*u*,esy*'i;eIs#
aurorescíeis	,aU*u*ys'i;eIs#
aurorescêsseis	,aU*u*ys'eseIs#
aurorescêreis	,aU*u*ys'e*eIs#
aurorescereis	,aU*u*,esy*'eIs#
auroresçais	,aU*u*ys#s'aIs#
auroresceis	,aU*u*ys'eIs#
aurorescestes	,aU*u*ys'es#tys#
aurorescesses	,aU*u*ys'esys#
aurorescerdes	,aU*u*ys'e*@-dys#
auroresceres	,aU*u*ys'e*ys#
auroresças	,aU*u*'es#s&s#
aurorescerias	,aU*u*,esy*'i;&s#
aurorescias	,aU*u*ys'i;&s#
aurorescidas	,aU*u*ys'id&s#
auroresceras	,aU*u*ys'e*&s#
auroresces	,aU*u*'esys#
auroresço	,aU*u*'es#sU
aurorescerão	,aU*u*,esy*'&U~
aurorescendo	,aU*u*ys'eINdU
aurorescido	,aU*u*ys'idU
aurorescessem	,aU*u*ys'eseIN
aurorescerem	,aU*u*ys'e*eIN
auroresçam	,aU*u*'es#s&U~
auroresceriam	,aU*u*,esy*'i;&U~
auroresciam	,aU*u*ys'i;&U~
auroresceram	,aU*u*ys'e*&U~
aurorescem	,aU*u*'EseIN
aurorescerei	,aU*u*,esy*'eI
auroresci	,aU*u*ys'i
aurorescei	,aU*u*ys'eI
auroresceste	,aU*u*ys'es#ty
aurorescesse	,aU*u*ys'esy
auroresce	,aU*u*'Esy
auroresça	,aU*u*'es#s&
auroresceria	,aU*u*,esy*'i;&
aurorescia	,aU*u*ys'i;&
aurorescida	,aU*u*ys'id&
aurorescera	,aU*u*ys'e*&
Auschwitz	aUs#Sw'itS
auscultador	,aUs#kuwt&d'or-
auscultadores	,aUs#kuwt&d'o*ys#
auscultadoras	,aUs#kuwt&d'o*&s#
auscultadora	,aUs#kuwt&d'o*&
auscultadora	,aUs#kuwt&d'o*&
auscultar	,aUs#kuwt'ar-
auscultará	,aUs#kuwt&*'a
auscultá	,aUs#kuwt'a
auscultou	,aUs#kuwt'ow
auscultarás	,aUs#kuwt&*'as#
auscultámos	,aUs#kuwt'amUs#
auscultássemos	,aUs#kuwt'asymUs#
auscultaremos	,aUs#kuwt&*'emUs#
auscultemos	,aUs#kuwt'emUs#
auscultaríamos	,aUs#kuwt&*'i;&~mUs#
auscultávamos	,aUs#kuwt'av&mUs#
auscultáramos	,aUs#kuwt'a*&mUs#
auscultarmos	,aUs#kuwt'a*@-mUs#
auscultamos	,aUs#kuwt'&~mUs#
auscultados	,aUs#kuwt'adUs#
auscultaríeis	,aUs#kuwt&*'i;eIs#
auscultáveis	,aUs#kuwt'aveIs#
auscultásseis	,aUs#kuwt'aseIs#
auscultáreis	,aUs#kuwt'a*eIs#
auscultareis	,aUs#kuwt&*'eIs#
ausculteis	,aUs#kuwt'eIs#
auscultais	,aUs#kuwt'aIs#
auscultações	,aUs#kuwt&s'o~js#
auscultastes	,aUs#kuwt'as#tys#
auscultasses	,aUs#kuwt'asys#
auscultadores	,aUs#kuwt&d'o*ys#
auscultardes	,aUs#kuwt'a*@-dys#
auscultares	,aUs#kuwt'a*ys#
auscultes	,aUs#k'uwtys#
auscultavas	,aUs#kuwt'av&s#
auscultadoras	,aUs#kuwt&d'o*&s#
auscultarias	,aUs#kuwt&*'i;&s#
auscultadas	,aUs#kuwt'ad&s#
auscultaras	,aUs#kuwt'a*&s#
auscultas	,aUs#k'uwt&s#
auscultador	,aUs#kuwt&d'or-
auscultação	,aUs#kuwt&s'&U~
auscultarão	,aUs#kuwt&*'&U~
auscultando	,aUs#kuwt'&~NdU
auscultado	,aUs#kuwt'adU
ausculto	,aUs#k'uwtU
auscultassem	,aUs#kuwt'aseIN
auscultarem	,aUs#kuwt'a*eIN
auscultem	,aUs#k'uwteIN
auscultavam	,aUs#kuwt'av&U~
auscultariam	,aUs#kuwt&*'i;&U~
auscultaram	,aUs#kuwt'a*&U~
auscultam	,aUs#k'uwt&U~
auscultarei	,aUs#kuwt&*'eI
auscultei	,aUs#kuwt'eI
auscultai	,aUs#kuwt'aI
auscultaste	,aUs#kuwt'as#ty
auscultasse	,aUs#kuwt'asy
ausculte	,aUs#k'uwty
auscultava	,aUs#kuwt'av&
auscultadora	,aUs#kuwt&d'o*&
auscultaria	,aUs#kuwt&*'i;&
auscultada	,aUs#kuwt'ad&
auscultara	,aUs#kuwt'a*&
ausculta	,aUs#k'uwt&
ausência	,aUz'eINsj&
ausências	,aUz'eINsi;&s#
ausentar	,aUzeINt'ar-
ausentará	,aUzeINt&*'a
ausentá	,aUzeINt'a
ausentou	,aUzeINt'ow
ausentarás	,aUzeINt&*'as#
ausentámos	,aUzeINt'amUs#
ausentássemos	,aUzeINt'asymUs#
ausentaremos	,aUzeINt&*'emUs#
ausentemos	,aUzeINt'emUs#
ausentaríamos	,aUzeINt&*'i;&~mUs#
ausentávamos	,aUzeINt'av&mUs#
ausentáramos	,aUzeINt'a*&mUs#
ausentarmos	,aUzeINt'a*@-mUs#
ausentamos	,aUzeINt'&~mUs#
ausentados	,aUzeINt'adUs#
ausentaríeis	,aUzeINt&*'i;eIs#
ausentáveis	,aUzeINt'aveIs#
ausentásseis	,aUzeINt'aseIs#
ausentáreis	,aUzeINt'a*eIs#
ausentareis	,aUzeINt&*'eIs#
ausenteis	,aUzeINt'eIs#
ausentais	,aUzeINt'aIs#
ausentastes	,aUzeINt'as#tys#
ausentasses	,aUzeINt'asys#
ausentardes	,aUzeINt'a*@-dys#
ausentares	,aUzeINt'a*ys#
ausentes	,aUz'eINtys#
ausentavas	,aUzeINt'av&s#
ausentarias	,aUzeINt&*'i;&s#
ausentadas	,aUzeINt'ad&s#
ausentaras	,aUzeINt'a*&s#
ausentas	,aUz'eINt&s#
ausentarão	,aUzeINt&*'&U~
ausentando	,aUzeINt'&~NdU
ausentado	,aUzeINt'adU
ausento	,aUz'eINtU
ausentassem	,aUzeINt'aseIN
ausentarem	,aUzeINt'a*eIN
ausentem	,aUz'eINteIN
ausentavam	,aUzeINt'av&U~
ausentariam	,aUzeINt&*'i;&U~
ausentaram	,aUzeINt'a*&U~
ausentam	,aUz'eINt&U~
ausentarei	,aUzeINt&*'eI
ausentei	,aUzeINt'eI
ausentai	,aUzeINt'aI
ausentaste	,aUzeINt'as#ty
ausentasse	,aUzeINt'asy
ausente	,aUz'eINty
ausentava	,aUzeINt'av&
ausentaria	,aUzeINt&*'i;&
ausentada	,aUzeINt'ad&
ausentara	,aUzeINt'a*&
ausenta	,aUz'eINt&
ausente	,aUz'eINty
ausentes	,aUz'eINtys#
auspiciar	,aUs#pisi;'ar-
auspiciará	,aUs#pis,i;&*'a
auspiciá	,aUs#pisi;'a
auspiciou	,aUs#pisi;'ow
auspiciarás	,aUs#pis,i;&*'as#
auspiciámos	,aUs#pisi;'amUs#
auspiciássemos	,aUs#pisi;'asymUs#
auspiciaremos	,aUs#pis,i;&*'emUs#
auspiciemos	,aUs#pisi;'emUs#
auspiciaríamos	,aUs#pis,i;&*'i;&~mUs#
auspiciávamos	,aUs#pisi;'av&mUs#
auspiciáramos	,aUs#pisi;'a*&mUs#
auspiciarmos	,aUs#pisi;'a*@-mUs#
auspiciamos	,aUs#pisi;'&~mUs#
auspiciados	,aUs#pisi;'adUs#
auspiciaríeis	,aUs#pis,i;&*'i;eIs#
auspiciáveis	,aUs#pisi;'aveIs#
auspiciásseis	,aUs#pisi;'aseIs#
auspiciáreis	,aUs#pisi;'a*eIs#
auspiciareis	,aUs#pis,i;&*'eIs#
auspicieis	,aUs#pisi;'eIs#
auspiciais	,aUs#pisi;'aIs#
auspiciastes	,aUs#pisi;'as#tys#
auspiciasses	,aUs#pisi;'asys#
auspiciadores	,aUs#pis,i;&d'o*ys#
auspiciardes	,aUs#pisi;'a*@-dys#
auspiciares	,aUs#pisi;'a*ys#
auspicies	,aUs#pis'i;ys#
auspiciavas	,aUs#pisi;'av&s#
auspiciadoras	,aUs#pis,i;&d'o*&s#
auspiciarias	,aUs#pis,i;&*'i;&s#
auspiciadas	,aUs#pisi;'ad&s#
auspiciaras	,aUs#pisi;'a*&s#
auspicias	,aUs#pis'i;&s#
auspiciador	,aUs#pis,i;&d'or-
auspiciarão	,aUs#pis,i;&*'&U~
auspiciando	,aUs#pisi;'&~NdU
auspiciado	,aUs#pisi;'adU
auspicio	,aUs#pis'iU
auspiciassem	,aUs#pisi;'aseIN
auspiciarem	,aUs#pisi;'a*eIN
auspiciem	,aUs#pis'i;eIN
auspiciavam	,aUs#pisi;'av&U~
auspiciariam	,aUs#pis,i;&*'i;&U~
auspiciaram	,aUs#pisi;'a*&U~
auspiciam	,aUs#pis'i;&U~
auspiciarei	,aUs#pis,i;&*'eI
auspiciei	,aUs#pisi;'eI
auspiciai	,aUs#pisi;'aI
auspiciaste	,aUs#pisi;'as#ty
auspiciasse	,aUs#pisi;'asy
auspicie	,aUs#pis'i;y
auspiciava	,aUs#pisi;'av&
auspiciadora	,aUs#pis,i;&d'o*&
auspiciaria	,aUs#pis,i;&*'i;&
auspiciada	,aUs#pisi;'ad&
auspiciara	,aUs#pisi;'a*&
auspicia	,aUs#pis'i;&
auspício	,aUs#p'isjU
auspícios	,aUs#p'isiUs#
auspicioso	,aUs#pisi;'ozU
auspiciosas	,aUs#pisi;'oz&s#
auspiciosos	,aUs#pisi;'ozUs#
auspiciosa	,aUs#pisi;'Oz&
austeridade	,aUs#ty*id'ady
austeridades	,aUs#ty*id'adys#
austerismo	,aUs#ty*'iZmU
austerismos	,aUs#ty*'iZmUs#
austerizar	,aUs#ty*iz'ar-
austerizará	,aUs#ty*,iz&*'a
austerizá	,aUs#ty*iz'a
austerizou	,aUs#ty*iz'ow
austerizarás	,aUs#ty*,iz&*'as#
austerizámos	,aUs#ty*iz'amUs#
austerizássemos	,aUs#ty*iz'asymUs#
austerizaremos	,aUs#ty*,iz&*'emUs#
austerizemos	,aUs#ty*iz'emUs#
austerizaríamos	,aUs#ty*,iz&*'i;&~mUs#
austerizávamos	,aUs#ty*iz'av&mUs#
austerizáramos	,aUs#ty*iz'a*&mUs#
austerizarmos	,aUs#ty*iz'a*@-mUs#
austerizamos	,aUs#ty*iz'&~mUs#
austerizados	,aUs#ty*iz'adUs#
austerizaríeis	,aUs#ty*,iz&*'i;eIs#
austerizáveis	,aUs#ty*iz'aveIs#
austerizásseis	,aUs#ty*iz'aseIs#
austerizáreis	,aUs#ty*iz'a*eIs#
austerizareis	,aUs#ty*,iz&*'eIs#
austerizeis	,aUs#ty*iz'eIs#
austerizais	,aUs#ty*iz'aIs#
austerizastes	,aUs#ty*iz'as#tys#
austerizasses	,aUs#ty*iz'asys#
austerizardes	,aUs#ty*iz'a*@-dys#
austerizares	,aUs#ty*iz'a*ys#
austerizes	,aUs#ty*'izys#
austerizavas	,aUs#ty*iz'av&s#
austerizarias	,aUs#ty*,iz&*'i;&s#
austerizadas	,aUs#ty*iz'ad&s#
austerizaras	,aUs#ty*iz'a*&s#
austerizas	,aUs#ty*'iz&s#
austerizarão	,aUs#ty*,iz&*'&U~
austerizando	,aUs#ty*iz'&~NdU
austerizado	,aUs#ty*iz'adU
austerizo	,aUs#ty*'izU
austerizassem	,aUs#ty*iz'aseIN
austerizarem	,aUs#ty*iz'a*eIN
austerizem	,aUs#ty*'izeIN
austerizavam	,aUs#ty*iz'av&U~
austerizariam	,aUs#ty*,iz&*'i;&U~
austerizaram	,aUs#ty*iz'a*&U~
austerizam	,aUs#ty*'iz&U~
austerizarei	,aUs#ty*,iz&*'eI
austerizei	,aUs#ty*iz'eI
austerizai	,aUs#ty*iz'aI
austerizaste	,aUs#ty*iz'as#ty
austerizasse	,aUs#ty*iz'asy
austerize	,aUs#ty*'izy
austerizava	,aUs#ty*iz'av&
austerizaria	,aUs#ty*,iz&*'i;&
austerizada	,aUs#ty*iz'ad&
austerizara	,aUs#ty*iz'a*&
austeriza	,aUs#ty*'iz&
austero	,aUs#t'E*U
austerismos	,aUs#ty*'iZmUs#
austeridades	,aUs#ty*id'adys#
austeras	,aUs#t'e*&s#
austeros	,aUs#t'e*Us#
austerismo	,aUs#ty*'iZmU
austeridade	,aUs#ty*id'ady
austera	,aUs#t'E*&
austral	aUs#tR'Al
austrais	aUs#tR'aIs#
australásio	,aUs#tR&l'azjU
Austrália	,aUs#tR'Alj&
australiano	,aUs#tR&li;'&~nU
australianas	,aUs#tR&li;'&~n&s#
australianos	,aUs#tR&li;'&~nUs#
australiana	,aUs#tR&li;'&~n&
australopiteco	,aUs#tR&l,upit'EkU
